Date,Close,High,Low,Open,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLs_20_3.0,KCBs_20_3.0,KCUs_20_3.0,Adj Close
2007-01-01,107200.0,110600.0,107000.0,110400.0,155000,,,,,,,,,,,
2007-01-08,110000.0,110200.0,107300.0,107600.0,175000,,,,,490000000.0,,,,,,
2007-01-15,109450.0,110400.0,108500.0,110100.0,92000,,,,,129600000.0,,,,,,
2007-01-22,106700.0,110100.0,106100.0,110100.0,204000,,,,,-330800000.0,,,,,,
2007-01-29,109200.0,110700.0,106600.0,106800.0,223000,,,,,261399999.99999997,,,,,,
2007-02-05,109101.0,109300.0,108200.0,109200.0,119000,,,,,79279333.33333333,,,,,,
2007-02-12,108450.0,109450.0,106710.0,109450.0,197000,,,,,-59071555.55555555,,,,,,
2007-02-19,106800.0,109400.0,106500.0,108300.0,137000,,,,,-170390518.5185185,,,,,,
2007-02-26,107000.0,107850.0,103800.0,107100.0,320000,,,,,-14130172.83950618,,,,,,
2007-03-05,109290.0,109550.0,106401.0,106890.0,147000,,,,,219709942.38683128,,,,,,
2007-03-12,105310.0,109700.0,105310.0,109500.0,187000,,,,,-422936685.8710562,108045.54545454546,,,,,
2007-03-19,108000.0,109350.0,106190.0,106300.0,195000,,,,,208721104.70964792,108037.95454545454,,,,,
2007-03-26,108990.0,108990.0,107300.0,108150.0,95000,,,,,132273701.56988265,108196.62878787878,,,,,
2007-04-02,108849.0,109100.0,107600.0,108300.0,95000,,,,,35161233.85662755,108305.35732323233,,,,,
2007-04-09,109900.0,110000.0,108700.0,108990.0,130000,,,,57.53112413362663,102807077.95220916,108571.13110269362,,,,,
2007-04-16,109500.0,110000.0,109000.0,109810.0,169000,,,,55.80819932561339,-10797640.682596937,108725.942585578,,,,,
2007-04-23,109000.0,109850.0,108750.0,109500.0,132000,,,,53.64552243406928,-47599213.56086565,108771.618821315,,,,,
2007-04-30,109250.0,109500.0,108000.0,109500.0,449000,,,,54.593004682635744,58966928.81304478,108851.3490177625,,,,,
2007-05-07,110000.0,110490.0,108400.0,109550.0,293000,,,,57.40578581230105,166155642.9376816,109042.79084813542,,,,,
2007-05-14,108351.0,109990.0,108200.0,109990.0,208000,,,,50.06280445784457,-173276119.02077278,108927.4923734462,,,108517.05,,
2007-05-21,109320.0,109990.0,108300.0,108300.0,167000,,,,53.80239478047777,50123293.6597424,108992.91031120517,,101267.2,108623.05,115978.9,
2007-05-28,109255.0,109800.0,109000.0,109330.0,107000,,,,53.51290537649785,12071097.886580804,109036.5919260043,108587.09090909093,101559.95,108585.8,115611.65,
2007-06-04,109340.0,109900.0,108900.0,109050.0,172000,,,,53.86250849342159,13770365.9621936,109087.15993833692,108652.56126482214,101689.45,108580.3,115471.15,
2007-06-11,109100.0,109900.0,109000.0,109300.0,123000,,,,52.658340554304765,-15089878.012602132,109089.29994861408,108691.46898092458,102274.45,108700.3,115126.15,
2007-06-18,107400.0,109400.0,107300.0,109400.0,246000,,,,44.98641722166862,-283829959.33753407,108807.7499571784,108579.1673304094,102484.45,108610.3,114736.15,
2007-06-25,109475.0,109475.0,107200.0,107200.0,223000,286.7224700863444,,,53.82867695629536,213873346.8874886,108918.95829764869,108657.06582341727,102326.9,108629.0,114931.1,
2007-07-02,111500.0,111880.0,109450.0,109500.0,198000,472.014345168398,,,60.50092093293352,338591115.6291629,109349.13191470722,108904.2774909462,102525.9,108781.5,115037.1,
2007-07-09,110710.0,112000.0,110500.0,111400.0,186000,548.7870182934421,,,57.0379394167205,14903705.209720984,109575.943262256,109061.29683955958,102931.4,108977.0,115022.6,
2007-07-16,110200.0,110800.0,110020.0,110800.0,154000,561.9988047213992,,,54.85504595791202,-47392098.26342634,109679.95271854669,109160.31450568484,103581.9,109137.0,114692.1,
2007-07-23,110400.0,110550.0,108600.0,110000.0,206000,581.8997906154254,,,55.57310340687504,11669300.578857882,109799.9605987889,109268.11324432096,103817.25,109192.5,114567.75,
2007-07-30,109900.0,110300.0,109400.0,110200.0,167000,550.974354599457,,,53.29103416828394,-51776899.80704737,109816.63383232408,109323.05991872784,104555.25,109422.0,114288.75,
2007-08-06,111600.0,113390.0,110000.0,110300.0,260000,656.0786499761161,,,59.39616312175958,277407700.0643175,110113.86152693674,109521.05470840368,104817.75,109602.0,114386.25,
2007-08-13,118500.0,118500.0,109800.0,112200.0,324000,1281.3759907985514,,,74.15940968850252,1582869233.3547726,111511.5512724473,110301.83255984684,104241.75,110077.5,115913.25,
2007-08-20,119850.0,120800.0,117010.0,119200.0,258000,1864.3710471033264,1108.346328063053,756.0247190402733,75.99818334774736,759823077.7849243,112901.2927270394,111132.1079894254,104448.3,110627.55,116806.8,
2007-08-27,118390.0,119910.0,117600.0,119800.0,153000,2183.419925437804,1141.916165118024,1041.5037603197795,70.18178646842293,104354359.26164144,113816.07727253286,111763.22903382318,104721.3,111052.05,117382.8,
2007-09-03,119500.0,120200.0,117600.0,118000.0,125000,2497.0517255524173,1164.4383721861102,1332.6133533663071,71.94008258363161,127284786.42054716,114763.39772711071,112435.9917265342,104981.3,111552.05,118122.8,
2007-09-10,120000.0,120000.0,118100.0,119400.0,94000,2754.2042558353423,1137.2727219752285,1616.931533860114,72.72041537657951,73761595.47351572,115636.16477259228,113093.7315764008,105411.3,112102.05,118792.8,
2007-09-17,117100.0,119900.0,117100.0,119800.0,164000,2692.951061546089,860.8156221487802,1832.1354393973093,61.95813117335846,-292479468.17549473,115880.13731049356,113442.1027436703,105593.8,112494.55,119395.3,
2007-09-24,118510.0,118750.0,116300.0,117500.0,166000,2726.7503986522497,715.6919674039523,2011.0584312482972,64.6940418003913,58546843.94150175,116318.44775874465,113882.78946161202,105965.3,112920.05,119874.8,
2007-10-01,121100.0,121100.0,118400.0,119000.0,151000,2928.7669687650487,734.1668300134006,2194.600138751648,69.0913369568709,280242281.3138339,117115.3731322872,114510.37298668924,106467.75,113557.5,120647.25,
2007-10-08,127100.0,128300.0,120800.0,121000.0,227000,3532.298276189424,1070.1585099502204,2462.1397662392037,76.41862042579461,1001414093.771278,118779.47761023934,115605.12316175974,106485.25,114446.5,122407.75,
2007-10-15,127100.0,129995.0,125500.0,127150.0,254000,3964.896328716335,1202.2052499817055,2762.6910787346296,76.41862042579461,333804697.9237594,120166.2313418661,116604.6776694328,106823.25,115338.75,123854.25,
2007-10-22,127500.0,128110.0,125700.0,126600.0,159000,4290.551255012731,1222.288141022481,3068.26311399025,76.84306593223123,153668232.64125314,121388.52611822177,117552.0970025256,107519.75,116246.75,124973.75,
2007-10-29,132500.0,133050.0,127800.0,127800.0,391000,4895.659231398648,1461.916893926718,3433.7423374719297,81.35957793912587,1354556077.5470843,123240.43843185146,118851.91465447992,107992.25,117416.75,126841.25,
2007-11-05,132210.0,135600.0,132000.0,134000.0,599000,5290.821785759152,1485.663558629777,3805.158227129375,80.380348031562,335712025.8490282,124735.36535987622,120013.4872932208,109007.75,118657.25,128306.75,
2007-11-12,136475.0,138600.0,131310.0,132200.0,487000,5880.355732500175,1660.1580042966398,4220.197728203535,83.5215633697694,1496607341.949676,126691.97113323018,121444.9231807668,109605.5,120007.25,130409.0,
2007-11-19,134100.0,136800.0,134000.0,136480.0,142000,6085.770012909808,1492.457827765018,4593.31218514479,76.20481552792478,274035780.6498921,127926.64261102516,122545.36464330884,110680.0,121137.25,131594.5,
2007-11-26,140100.0,140700.0,134000.0,134200.0,308000,6655.986101402697,1650.1391330063252,5005.846968396372,80.7845674885597,1323345260.2166307,129955.53550918764,124071.85467432546,111369.5,122606.75,133844.0,
2007-12-03,148220.0,150900.0,140700.0,140900.0,420000,7674.634192371202,2135.029779179864,5539.604413191339,84.99387688394671,2714715086.738877,132999.61292432304,126171.69339829715,111767.5,124507.75,137248.0,
2007-12-10,143000.0,151650.0,137500.0,149000.0,320000,7968.849828402104,1943.3963321686124,6025.453496233492,73.80143947685944,-208694971.0870409,134666.34410360255,127635.02440714088,111567.5,126137.75,140708.0,
2007-12-17,134000.0,140000.0,131600.0,140000.0,372000,7390.598832945951,1092.1162693699662,6298.482563575984,59.301682053862685,-2301564990.362347,134555.28675300212,128188.50054565036,111212.5,127342.75,143473.0,
2007-12-24,141100.0,141400.0,134900.0,134900.0,201000,7419.711599093454,896.9832284139757,6522.728370679479,65.12316343550044,184211669.8792175,135646.07229416844,129311.2396286373,112101.0,128817.75,145534.5,
2007-12-31,135500.0,144300.0,134800.0,143500.0,224000,6911.241981697996,310.81088881481446,6600.431092883182,58.067982566230505,-774862776.7069274,135621.72691180705,129849.39270440798,112831.0,129667.75,146504.5,
2008-01-07,132100.0,135500.0,128700.0,135500.0,340000,6162.882686226367,-350.0387253254521,6512.921411551819,54.22682259497067,-1028954258.9023092,135034.77242650586,130045.09768663338,112992.0,130280.25,147568.5,
2008-01-14,131200.0,134400.0,126100.0,133100.0,313000,5434.534147765924,-862.709811028717,6297.243958794641,53.22318982768319,-530784752.9674364,134395.64368875488,130145.52397475224,112734.0,130920.75,149107.5,
2008-01-21,139100.0,145000.0,127200.0,128000.0,413800,5432.158123071684,-692.0686685783667,6124.2267916500505,60.18847296887475,2002418415.677521,135179.70307396242,130924.1740639042,111434.0,131900.75,152367.5,
