Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2007-01-05,17.22,17.87,17.1,17.64,14.1982,121956300.0,,,,,,,,,,
2007-01-12,17.63,17.98,17.28,17.5,14.0855,198164100.0,,,,,-27742974.00000011,,,,,
2007-01-19,17.39,17.71,17.01,17.27,13.9004,157463800.0,,,,,-33392107.333333418,,,,,
2007-01-26,17.25,17.81,16.77,17.15,13.8038,188964200.0,,,,,-26247838.444444597,,,,,
2007-02-02,17.09,17.5,16.8,17.42,14.0211,186336700.0,,,,,24791326.518518854,,,,,
2007-02-09,17.35,17.43,16.54,16.7,13.4416,192397900.0,,,,,-84087216.49382736,,,,,
2007-02-16,16.65,16.98,16.51,16.7,13.4416,170453500.0,,,,,-28029072.164609123,,,,,
2007-02-23,16.69,17.3,16.57,16.82,13.5382,169800100.0,,,,,4240983.945130402,,,,,
2007-03-02,16.91,17.04,15.97,16.71,13.4496,239106300.0,,,,,-16120800.684956443,,,,,
2007-03-09,16.52,17.0,16.34,16.63,13.3853,157643800.0,,,,,-13781269.56165234,,,,,
2007-03-16,16.61,17.21,16.6,16.7,13.4416,153979800.0,,,,,2591967.479449247,17.02181818181818,,,,
2007-03-23,16.83,18.59,16.83,18.24,14.6811,274176000.0,,,,,282351349.15981627,17.224848484848483,,,,
2007-03-30,18.22,18.5,17.89,18.13,14.5926,166867300.0,,,,,81880181.05327216,17.37570707070707,,,,
2007-04-05,18.08,18.67,17.9899,18.67,15.0272,98106600.0,,,,,62611769.68442424,17.59142255892256,,,,
2007-04-13,18.66,18.91,18.44,18.63,14.995,128907500.0,,,,70.50210424506032,17433056.561474513,17.764518799102134,,,,
2007-04-20,18.68,19.06,18.55,19.0,15.2928,153566200.0,,,,74.15661075512566,43690681.52049161,17.970432332585112,,,,
2007-04-27,18.97,19.29,18.7,19.1,15.3733,112412000.0,,,,75.05607809961124,22057693.840163976,18.158693610487596,,,,
2007-05-04,19.1,19.15,18.55,19.03,15.317,125534600.0,,,,73.13715867288334,1494283.2800546363,18.303911342072997,,,,
2007-05-11,19.02,19.15,18.48,18.98,15.2767,117710200.0,,,,71.72654709452223,-3425578.90664851,18.416592785060832,,,,
2007-05-18,18.94,19.25,18.65,19.25,15.4941,112677200.0,,,,74.57794872418766,19140036.364450462,18.555493987550694,,15.572957894736842,17.813499999999998,20.054042105263154
2007-05-25,19.2,19.47,18.67,19.24,15.486,121824200.0,,,,74.27915777811793,5567850.788150027,18.669578322958913,,15.693628571428569,17.94935714285714,20.20508571428571
