exit_date,entry_price,exit_price,return_pct,ticker
2024-02-12,132.035,133.6,0.011852917786950412,EXPE
2024-02-13,131.39,134.84,0.026257706065910824,EXPE
2024-02-14,135.44,134.82,-0.004577672770230357,EXPE
2024-05-06,115.785,116.02,0.0020296238718313653,EXPE
2024-05-08,111.94,111.54,-0.0035733428622475305,EXPE
2024-05-09,110.84,112.53,0.015247203175748902,EXPE
2024-05-10,113.0,112.84,-0.001415929203539834,EXPE
2024-05-13,113.46,112.67,-0.006962806275339295,EXPE
2024-05-14,112.9,113.48,0.005137289636846676,EXPE
2024-05-15,114.05,112.45,-0.014028934677772886,EXPE
2024-05-16,112.39,113.45,0.009431444078654705,EXPE
2024-05-30,110.28,109.48,-0.007254261878853807,EXPE
2024-08-05,111.75,112.12,0.0033109619686801928,EXPE
2024-08-06,113.0,117.53,0.040088495575221206,EXPE
2024-08-07,115.0,113.24,-0.015304347826087028,EXPE
2024-08-08,113.37,117.97,0.0405751080532768,EXPE
