Ticker,Entry Date,Exit Date,Buy Price,Sell Price,Return %,Config_ID,USE_CONFIRMATION_CANDLE,USE_RSI_FILTER,USE_MACD_HIST_FILTER,USE_FORCE_INDEX_FILTER,USE_ATR_FILTER,USE_MACD_DIVERGENCE,USE_TRAILING_EXIT,Label
AAPL,2008-01-28,2008-02-04,130.01,131.65,1.2614414275825052,CFG_081,True,False,True,False,False,False,False,1
AAPL,2008-01-29,2008-02-05,131.54,129.36,-1.6572905580051531,CFG_081,True,False,True,False,False,False,False,1
AAPL,2008-02-07,2008-02-14,121.24,127.46,5.130320026393929,CFG_081,True,False,True,False,False,False,False,1
AAPL,2008-10-09,2008-10-16,88.74,101.89,14.818571106603567,CFG_081,True,False,True,False,False,False,False,1
AAPL,2010-08-27,2010-09-03,241.62,258.77,7.0979223574207335,CFG_081,True,False,True,False,False,False,False,1
AAPL,2011-04-18,2011-04-26,331.85,350.42,5.595901762844656,CFG_081,True,False,True,False,False,False,False,1
AAPL,2012-11-12,2012-11-19,542.83,565.73,4.218631984230786,CFG_081,True,False,True,False,False,False,False,1
AAPL,2012-11-15,2012-11-23,525.62,571.5,8.728739393478179,CFG_081,True,False,True,False,False,False,False,1
AAPL,2012-11-16,2012-11-26,527.678,589.53,11.721542304208242,CFG_081,True,False,True,False,False,False,False,1
AAPL,2012-12-17,2012-12-24,518.83,520.168,0.257887940173075,CFG_081,True,False,True,False,False,False,False,1
AAPL,2013-02-04,2013-02-11,442.316,479.93,8.503875057651099,CFG_081,True,False,True,False,False,False,False,1
AAPL,2013-02-05,2013-02-12,457.844,467.9,2.196381300180844,CFG_081,True,False,True,False,False,False,False,1
AAPL,2013-04-22,2013-04-29,398.67,430.12,7.888730027340906,CFG_081,True,False,True,False,False,False,False,1
AAPL,2013-06-28,2013-07-08,396.53,415.05,4.670516732655799,CFG_081,True,False,True,False,False,False,False,1
AAPL,2014-02-03,2014-02-10,501.53,528.99,5.475245748011093,CFG_081,True,False,True,False,False,False,False,1
AAPL,2014-06-13,2014-06-20,91.28,90.91,-0.4053461875547814,CFG_081,True,False,True,False,False,False,False,1
AAPL,2014-06-24,2014-07-01,90.28,93.52,3.5888347363757145,CFG_081,True,False,True,False,False,False,False,1
AAPL,2014-06-25,2014-07-02,90.36,93.48,3.452855245683936,CFG_081,True,False,True,False,False,False,False,1
AAPL,2014-06-26,2014-07-03,90.9,94.03,3.443344334433438,CFG_081,True,False,True,False,False,False,False,1
AAPL,2014-06-27,2014-07-07,91.98,95.968,4.335725157642965,CFG_081,True,False,True,False,False,False,False,1
AAPL,2014-07-02,2014-07-10,93.48,95.035,1.6634574240479167,CFG_081,True,False,True,False,False,False,False,1
AAPL,2014-07-03,2014-07-11,94.03,95.22,1.2655535467403995,CFG_081,True,False,True,False,False,False,False,1
AAPL,2014-07-09,2014-07-16,95.39,94.78,-0.639480029353181,CFG_081,True,False,True,False,False,False,False,1
AAPL,2014-07-11,2014-07-18,95.22,94.43,-0.8296576349506323,CFG_081,True,False,True,False,False,False,False,1
AAPL,2015-08-07,2015-08-14,115.52,115.96,0.3808864265927958,CFG_081,True,False,True,False,False,False,False,1
AAPL,2016-01-14,2016-01-22,99.52,101.42,1.9091639871382693,CFG_081,True,False,True,False,False,False,False,1
AAPL,2016-05-09,2016-05-16,92.79,93.88,1.1746955490893298,CFG_081,True,False,True,False,False,False,False,1
AAPL,2016-05-12,2016-05-19,90.34,94.2,4.272747398715961,CFG_081,True,False,True,False,False,False,False,1
AAPL,2016-05-13,2016-05-20,90.52,95.22,5.192222713212553,CFG_081,True,False,True,False,False,False,False,1
AAPL,2018-02-09,2018-02-16,156.41,172.43,10.24231187264242,CFG_081,True,False,True,False,False,False,False,1
AAPL,2018-11-15,2018-11-23,191.41,172.29,-9.9890287863748,CFG_081,True,False,True,False,False,False,False,1
AAPL,2018-11-26,2018-12-03,174.62,184.82,5.841255297216807,CFG_081,True,False,True,False,False,False,False,1
AAPL,2018-11-27,2018-12-04,174.24,176.69,1.4061065197428768,CFG_081,True,False,True,False,False,False,False,1
AAPL,2018-12-26,2019-01-03,157.17,142.19,-9.531080995100842,CFG_081,True,False,True,False,False,False,False,1
AAPL,2019-05-15,2019-05-22,190.92,182.78,-4.263565891472862,CFG_081,True,False,True,False,False,False,False,1
AAPL,2019-06-03,2019-06-10,173.3,192.58,11.125216387766878,CFG_081,True,False,True,False,False,False,False,1
AAPL,2020-09-08,2020-09-15,112.82,115.54,2.410920049636601,CFG_081,True,False,True,False,False,False,False,1
AAPL,2020-09-11,2020-09-18,112.0,106.84,-4.607142857142854,CFG_081,True,False,True,False,False,False,False,1
AAPL,2020-09-16,2020-09-23,112.13,107.12,-4.46802818157495,CFG_081,True,False,True,False,False,False,False,1
AAPL,2020-09-18,2020-09-25,106.84,112.28,5.091725945338822,CFG_081,True,False,True,False,False,False,False,1
AAPL,2020-09-23,2020-09-30,107.12,115.81,8.112397311426434,CFG_081,True,False,True,False,False,False,False,1
AAPL,2020-09-24,2020-10-01,108.22,116.79,7.919053779338391,CFG_081,True,False,True,False,False,False,False,1
AAPL,2020-09-29,2020-10-06,114.09,113.16,-0.815145937417834,CFG_081,True,False,True,False,False,False,False,1
AAPL,2020-10-01,2020-10-08,116.79,114.97,-1.5583525986814002,CFG_081,True,False,True,False,False,False,False,1
AAPL,2020-10-02,2020-10-09,113.02,116.97,3.4949566448416234,CFG_081,True,False,True,False,False,False,False,1
