ticker,trades,win_rate_pct,avg_return_pct,total_return_pct
AA,12,58.33,0.006149253684021222,0.07379104420825466
AAPL,10,40.0,0.002376249546970133,0.023762495469701328
ABBV,12,75.0,0.0019531196327433515,0.02343743559292022
ABNB,12,58.33,0.0024210051632907272,0.02905206195948873
ABT,5,60.0,0.002093961287750945,0.010469806438754725
ADBE,19,63.16,0.005822085207523686,0.11061961894295003
ADM,15,73.33,0.004732834417197348,0.07099251625796021
AEE,5,40.0,-0.002614310647514673,-0.013071553237573363
AMD,9,55.56,-0.0052316558224357506,-0.04708490240192176
AMGN,7,57.14,0.0005836293487553165,0.004085405441287215
AMZN,4,75.0,-0.0018065390539835635,-0.007226156215934254
ARM,6,50.0,0.01554586997307759,0.09327521983846554
ASML,23,43.48,-0.0033088079458973465,-0.07610258275563897
AVGO,34,67.65,0.008482683242690317,0.28841123025147075
AXP,2,100.0,0.016934056705155798,0.033868113410311596
AZN,24,58.33,0.004190136722086124,0.10056328133006698
BA,16,75.0,0.00966880262680949,0.15470084202895185
BAC,5,60.0,0.0021493546844389088,0.010746773422194544
BBY,2,100.0,0.009526020744282215,0.01905204148856443
BRK-A,2,100.0,0.00798096321723285,0.0159619264344657
BRK-B,2,100.0,0.010011667831757887,0.020023335663515773
BUD,43,53.49,-0.0007001962014916507,-0.03010843666414098
C,4,50.0,-0.003194385809979189,-0.012777543239916755
CAT,3,100.0,0.018491288347877388,0.055473865043632165
CCL,4,75.0,-0.00022376968722229162,-0.0008950787488891665
CI,9,66.67,-0.0021025498321714828,-0.018922948489543345
CIEN,8,62.5,0.0040358419472433515,0.03228673557794681
CMG,55,65.45,0.007528462573606511,0.4140654415483581
CRM,9,66.67,0.009303969787221292,0.08373572808499163
CRWD,9,44.44,0.007202153125594111,0.064819378130347
CVX,11,72.73,0.0025914470077748456,0.028505917085523302
DELL,9,44.44,0.0013567748897575197,0.012210974007817677
DIS,15,73.33,0.005795566031287088,0.08693349046930632
DOCU,4,50.0,0.00014855142798936294,0.0005942057119574518
DUK,3,33.33,-0.0022419986963793472,-0.006725996089138042
DUOL,5,40.0,0.000626648347255343,0.003133241736276715
EBAY,3,100.0,0.019167762234307977,0.05750328670292393
EXPE,16,56.25,0.0063008409199406465,0.10081345471905034
FDX,5,40.0,0.004568634142873762,0.02284317071436881
FFIV,6,50.0,0.0004009051785609878,0.0024054310713659266
FTNT,4,50.0,-0.004580258220054562,-0.018321032880218246
GD,7,57.14,0.004623115375116822,0.03236180762581775
GOOG,11,45.45,-0.003054976028228876,-0.033604736310517636
GOOGL,11,45.45,-0.0032140948661627533,-0.035355043527790286
GRMN,3,100.0,0.004260636450656774,0.012781909351970322
GSK,32,53.12,0.0035036340265266128,0.11211628884885161
HCA,15,80.0,0.007450057898858842,0.11175086848288263
HD,7,57.14,0.0022337309320236143,0.0156361165241653
HPE,12,66.67,0.00729454784635337,0.08753457415624044
HUM,33,78.79,0.010875190220922365,0.35888127729043806
IBM,11,72.73,0.0023475562464596892,0.02582311871105658
INTC,32,53.12,0.003599190500830428,0.11517409602657369
INTU,4,75.0,0.008726086912927977,0.03490434765171191
JBL,9,77.78,0.006657345533426056,0.059916109800834505
JNJ,9,55.56,0.00450503394682717,0.04054530552144453
JNPR,11,63.64,0.003024362107972654,0.03326798318769919
JPM,7,57.14,0.0038680521490638275,0.027076365043446793
KO,10,70.0,0.0005275850763047374,0.005275850763047374
LIN,11,63.64,0.00415697586240034,0.04572673448640374
LLY,13,61.54,0.0016732320091212326,0.021752016118576023
LOW,6,83.33,0.0020096048737492747,0.012057629242495649
LULU,23,73.91,0.002886814605889769,0.06639673593546469
MA,2,0.0,-0.0036391538441361004,-0.007278307688272201
MARA,1,0.0,-0.007479861910241636,-0.007479861910241636
MCD,7,71.43,0.004687402223342344,0.03281181556339641
MDB,16,50.0,0.007289136464301689,0.11662618342882702
META,6,66.67,0.0026758820049933387,0.016055292029960033
MGM,9,44.44,-0.005263554073161653,-0.04737198665845488
MPC,8,62.5,0.0015818969169412028,0.012655175335529623
MRK,14,57.14,0.001802284796047723,0.025231987144668122
MRVL,1,0.0,-0.01255088195386711,-0.01255088195386711
MSFT,3,33.33,0.0005792046616438876,0.001737613984931663
MU,12,33.33,-0.0032318450569817636,-0.03878214068378116
NCLH,8,50.0,-0.0027451141304116883,-0.021960913043293506
NET,9,44.44,-0.00022978291031663624,-0.0020680461928497262
NFLX,2,100.0,0.022679395805196956,0.04535879161039391
NKE,31,54.84,0.0030392258241862358,0.0942160005497733
NOK,7,57.14,0.0010239229927257692,0.007167460949080384
NOW,5,80.0,0.0117281675277642,0.058640837638821
NVDA,32,59.38,0.002045843008094416,0.06546697625902131
NVO,25,64.0,0.005497208638598026,0.13743021596495064
NVS,33,51.52,0.0009261379199122107,0.03056255135710295
NXPI,5,40.0,0.0028823384103581874,0.014411692051790936
ORCL,5,40.0,-0.004864703640606182,-0.024323518203030914
PANW,9,66.67,0.0034300585754863944,0.03087052717937755
PEP,13,61.54,0.0037870334861650735,0.049231435320145955
PG,3,66.67,0.012846654195874682,0.038539962587624044
PINS,11,45.45,0.008422971072196049,0.09265268179415653
PLTR,1,0.0,-0.01700554528650655,-0.01700554528650655
QCOM,7,71.43,0.00417434412050507,0.029220408843535495
RCL,2,100.0,0.041461743932074024,0.08292348786414805
RIVN,17,64.71,0.00856908182605099,0.14567439104286684
ROK,6,83.33,0.012722586429809188,0.07633551857885512
ROKU,9,66.67,0.013865942982896241,0.12479348684606617
SAP,8,75.0,0.0027620181980124586,0.02209614558409967
SBUX,20,45.0,0.0033457572712495055,0.06691514542499011
SHEL,19,68.42,0.00113979716586619,0.02165614615145761
SMCI,42,71.43,0.020581613349277925,0.8644277606696729
SNOW,15,46.67,0.0019753916515809302,0.029630874773713956
SOFI,1,0.0,-0.0040000000000000036,-0.0040000000000000036
SOXL,8,62.5,0.01542218766190065,0.1233775012952052
T,4,50.0,-0.0017759212459556029,-0.007103684983822411
TECL,8,75.0,0.003049921640365841,0.024399373122926726
TLSA,1,100.0,0.02985074626865658,0.02985074626865658
TM,45,62.22,0.0006724265450227134,0.030259194526022104
TMO,12,66.67,0.002897146187426055,0.03476575424911266
TMUS,3,66.67,0.0023716395888640682,0.007114918766592204
TSLA,16,50.0,0.003968865552124952,0.06350184883399923
TSM,3,66.67,0.014069384606289518,0.042208153818868555
TU,13,46.15,6.840091436515035e-05,0.0008892118867469545
UBER,7,28.57,0.0062971064593991665,0.044079745215794164
UNH,25,56.0,0.0035196782759257107,0.08799195689814276
V,1,0.0,-0.006460707153764789,-0.006460707153764789
VOO,5,60.0,-0.00233811333723577,-0.01169056668617885
VOT,10,60.0,0.001589693356688282,0.01589693356688282
WDAY,17,70.59,0.004191356718964482,0.07125306422239619
WFC,5,40.0,-0.003387970772333082,-0.01693985386166541
WM,8,75.0,0.0025413804886799257,0.020331043909439406
WMT,33,60.61,0.0012606536001670647,0.041601568805513134
XOM,5,60.0,0.0013705646514033721,0.00685282325701686
Z,7,57.14,-0.0009733772293387519,-0.006813640605371263
