ticker,mean_return,total_return,num_trades
AA,0.01367839993461273,1.0532367949651802,77
AAPL,0.010756455970578957,2.000700810527686,186
ABBV,0.011423622496287237,0.8910425547104045,78
ABNB,0.011369750543837223,0.38657151849046556,34
ABT,0.006362213886607643,0.801638949712563,126
ADBE,0.011208438622488265,1.557972968525869,139
ADM,0.010388113310172233,1.6932624695580738,163
AEE,0.006679246883704551,0.6412077008356369,96
AMD,0.012604945560020186,1.978976452923169,157
AMGN,0.006977692284811261,0.7815015358988613,112
AMZN,0.009926263920292371,1.34004562923947,135
ARM,0.021772494024364247,0.2394974342680067,11
ARMK,0.013119298363628653,1.023305272363035,78
ASML,0.005156921033615584,1.2479748901349714,242
AVGO,0.010339471092950657,1.1890391756893255,115
AXP,0.011822998067706408,1.395113771989356,118
AZN,0.003467724256547096,1.0541881739903172,304
BA,0.010468041697817487,1.6853547133486153,161
BAC,0.014304693489848905,2.674977682601745,187
BBY,0.012317466247578792,1.8229850046416611,148
BRK-A,0.004366001235447303,0.3449140976003369,79
BRK-B,0.004109476860972201,0.5219035613434695,127
BUD,0.002965357564318157,0.907399414681356,306
C,0.009874078011782864,1.82670443217983,185
CAT,0.008482923163982949,1.3742335525652376,162
CCL,0.013035876257151602,2.2682424687443787,174
CI,0.01341828760234466,1.5296847866672911,114
CIEN,0.014043459541735649,2.1065189312603474,150
CMG,0.01030323459210121,1.7000337076966996,165
COST,0.007473261409589656,0.6128074355863518,82
CRM,0.01154454938648183,1.4199795745372652,123
CRWD,0.01901807271896238,0.7607229087584952,40
CSCO,0.005689301558786144,1.0183849790227197,179
CVNA,0.04911014055443778,2.1117360438408244,43
CVX,0.00657257278227929,1.0844745090760828,165
DELL,0.012644925362950385,0.9230795514953781,73
DIS,0.009710480400164015,1.3885986972234543,143
DOCU,0.019285311148790472,0.7714124459516188,40
DUK,0.006035264146690164,0.5129974524686639,85
DUOL,0.03520422852350692,0.5280634278526039,15
EBAY,0.009984000105305006,1.1381760120047706,114
EXPE,0.012450374808734593,1.5811976007092934,127
FDX,0.011058392460251074,1.6034669067364058,145
FFIV,0.011031025992596267,1.8201192887783841,165
FTNT,0.010550155275402505,1.5086722043825582,143
GD,0.00698840802376945,0.7337828424957922,105
GOOG,0.009427007306900501,1.036970803759055,110
GOOGL,0.008480871284063711,1.5350377024155317,181
GRMN,0.014687657744898325,1.5128287477245275,103
GSK,0.004232688907848648,1.2401778499996539,293
HCA,0.014004478961841739,1.0783448800618138,77
HD,0.009359295011719629,1.085678221359477,116
HPE,0.012951648283099025,1.3340197731591996,103
HUM,0.011687289183414282,1.5427221722106852,132
IBM,0.006693338582563631,1.0977075275404355,164
INTC,0.008267966802975653,1.5130379249445445,183
INTU,0.014160287026005018,0.807136360482286,57
JBL,0.009789271971395775,1.8110153147082184,185
JNJ,0.006846634271641347,0.6983566957074174,102
JNPR,0.010459697527786369,1.6630919069180325,159
JPM,0.010948735131821385,1.4123868320049586,129
KO,0.004094860435384237,0.4545295083276503,111
LIN,0.008475277869745938,0.4830908385755185,57
LLY,0.006839975481776121,0.6019178423962986,88
LOW,0.011183401777880646,1.3867418204572002,124
LULU,0.014155247554635675,2.1940633709685295,155
MA,0.008225985025262577,0.8390504725767828,102
MARA,0.05069382516820498,3.9541183631199885,78
MCD,0.007579458931951239,0.7124691396034165,94
MDB,0.0189899207772281,1.0064658011930894,53
META,0.012335908145333297,1.1349035493706634,92
MGM,0.017759989343541772,2.1489587105685546,121
MPC,0.012773655582423382,1.2518182470774915,98
MRK,0.008384094188039195,0.905482172308233,108
MRVL,0.014923827290790037,1.656544829277694,111
MSFT,0.006784376814237111,0.5020438842535462,74
MSI,0.010805393066561997,1.2102040234549436,112
MU,0.013058638267695495,1.6192711451942414,124
NCLH,0.012811748354894879,1.2427395904248033,97
NET,0.023783508064091397,0.7372887499868334,31
NFLX,0.014768232740254978,2.052784350895442,139
NKE,0.006685972253302495,1.417426117700129,212
NOK,0.004645992460653114,1.593575414004018,343
NOW,0.014037582787945512,0.8562925500646763,61
NVDA,0.014117019574072171,2.230489092703403,158
NVO,0.0030811086013941753,1.0106036212572895,328
NVS,0.0023417865835014054,0.6744345360484048,288
NXPI,0.01669968451605477,1.4194731838646555,85
ORCL,0.008084766379392911,1.0348500965622927,128
PANW,0.009149157495011226,1.0155564819462461,111
PEP,0.008590447186712051,0.7044166693103883,82
PG,0.00642118651958226,0.7191728901932131,112
PINS,0.01660019661159371,0.8466100271912792,51
PLTR,0.01862161342939315,0.3910538820172562,21
PYPL,0.012619504015648068,0.9969408172361974,79
QCOM,0.008785933430124055,1.1861010130667475,135
RCL,0.012591216938571737,1.8886825407857604,150
RIVN,0.01874186114673165,0.5622558344019495,30
ROK,0.013644724911027065,1.923906212454816,141
ROKU,0.02888307273561973,1.2130890548960287,42
SAP,0.004081687005838885,1.1143005525940155,273
SBUX,0.009608675597773756,1.3740406104816472,143
SHEL,0.004078228397440372,1.3662065131425247,335
SMCI,0.020916656480134382,3.158415128500292,151
SNOW,0.01880549657275066,0.5641648971825198,30
SOFI,0.033529252141710646,0.6035265385507916,18
SOXL,0.022271788202336953,3.5634861123739126,160
SPOT,0.01824688320474501,0.6021471457565853,33
T,0.006541787956034221,0.948559253624962,145
TECL,0.017498143979458123,3.3421455000765015,191
TLSA,0.01740375802378814,0.4176901925709154,24
TM,0.0027679902927665295,0.9023648354418886,326
TMO,0.008749123841588187,0.7349264026934077,84
TMUS,0.013839605524972442,1.1625268640976851,84
TSLA,0.016083045641889872,2.396373800641591,149
TSM,0.006149507225252909,0.8978280548869246,146
TU,0.008339287094227862,1.392660944736053,167
UBER,0.010963157342457217,0.3727473496435454,34
UNH,0.015382288437984868,1.6459048628643809,107
V,0.009132359420896841,0.8401770667225094,92
VOO,0.005192344114623278,0.597119573181677,115
VOT,0.009098908090248835,1.4194296620788183,156
WDAY,0.008429968243319756,0.6659674912222607,79
