entry_date,exit_date,entry_price,exit_price,return_pct
2007-02-28,2007-02-28,49.5235815628274,50.29399108886719,0.015556417805978162
2007-03-01,2007-03-01,49.38531630683404,50.31376266479492,0.018800048828125027
2007-08-10,2007-08-10,48.39326808897478,51.285587310791016,0.05976697454072499
2007-08-13,2007-08-13,52.66541911769144,51.63055419921875,-0.019649799352400077
2008-01-18,2008-01-18,54.43896163566658,53.97138977050781,-0.008588919610333479
2008-01-23,2008-01-23,50.09720118495447,52.80245208740234,0.054000040690104
2008-01-24,2008-01-24,53.6507547131275,55.48765182495117,0.034238047938852434
2008-06-12,2008-06-12,57.66275670190274,57.48836517333984,-0.00302433561170945
2008-09-05,2008-09-05,57.721604520970615,57.68119430541992,-0.0007000882232234273
2008-09-11,2008-09-11,55.700987412346485,57.09519577026367,0.025030226979569692
2008-09-30,2008-09-30,48.5009536099144,49.5853385925293,0.02235801364518397
2008-10-08,2008-10-08,43.163095218131446,44.39554977416992,0.028553433200517064
2008-10-10,2008-10-10,39.5740852270314,38.86305236816406,-0.017967133157677062
2008-10-13,2008-10-13,40.109039363366186,41.3753547668457,0.03157182080596299
2008-10-14,2008-10-14,42.946390199849176,41.63944625854492,-0.030431985906672177
2008-10-16,2008-10-16,38.16553296615188,40.522098541259766,0.06174591030073828
2008-10-17,2008-10-17,39.68241249740274,38.68019485473633,-0.025255965542216097
2008-10-20,2008-10-20,39.09327640999192,40.833614349365234,0.04451757691326419
2009-03-04,2009-03-04,27.4714058356544,27.410070419311523,-0.00223270031063616
2009-03-09,2009-03-09,24.5750178730108,24.74539375305176,0.006932889364368533
2009-03-10,2009-03-10,25.11339568539366,25.6245231628418,0.020352782389576385
2009-03-12,2009-03-12,24.881682018957367,25.604076385498047,0.029033180553882376
2009-03-13,2009-03-13,25.76764083232116,25.6245231628418,-0.005554162696176812
2009-03-16,2009-03-16,25.86305629472848,26.61270904541016,0.028985466456045827
2009-07-10,2009-07-10,35.55405469925464,35.69242477416992,0.0038918226369883957
2010-05-07,2010-05-07,50.719288644046486,49.59375762939453,-0.0221913801384529
2010-05-10,2010-05-10,51.35239067926134,51.42977142333984,0.001506857676048634
2010-05-21,2010-05-21,45.99909816753613,47.448219299316406,0.03150325092249284
2010-05-26,2010-05-26,46.79398684773916,46.69550323486328,-0.0021046211171604767
2010-06-08,2010-06-08,43.68471332239319,44.07161712646485,0.008856732129985723
2010-06-09,2010-06-09,44.17009363238912,44.00126266479492,-0.0038222913675327597
2010-07-01,2010-07-01,41.52309905818234,41.44516754150391,-0.0018768232248086436
2010-07-02,2010-07-02,41.650618740044216,41.586856842041016,-0.0015308751690139566
2010-07-07,2010-07-07,41.70728706262487,42.66371536254883,0.022931923107054386
2010-08-26,2010-08-26,40.48873610181658,40.26202774047852,-0.005599294598081617
2010-08-27,2010-08-27,40.09198728548036,40.64458847045898,0.013783332341291699
2010-08-31,2010-08-31,39.85820604923203,39.58190536499024,-0.006932090317876005
2010-09-01,2010-09-01,40.16993741777178,40.93507766723633,0.019047583806442336
2011-05-27,2011-05-27,50.92022836025917,51.447265625,0.010350253361238959
2011-07-19,2011-07-19,50.75280306472042,50.81093215942383,0.0011453376206489452
2011-07-20,2011-07-20,51.31227381524556,50.81818771362305,-0.00962900423008961
2011-07-29,2011-07-29,48.950833966359454,49.51031112670898,0.011429369328702643
2011-08-05,2011-08-05,46.545792875323926,46.821903228759766,0.005932015255931233
2011-08-09,2011-08-09,44.16255342267122,45.35417175292969,0.02698255055258514
2011-08-11,2011-08-11,42.614902010600815,44.69296646118164,0.048763797463710956
2011-08-12,2011-08-12,45.13619755075641,44.45319747924805,-0.015131980728777972
2011-09-26,2011-09-26,41.04544202479213,41.30701446533203,0.006372752433313034
2012-04-11,2012-04-11,50.757025776914986,51.52224349975586,0.015076094612086255
2012-04-12,2012-04-12,51.68568913602071,51.75255584716797,0.0012937180922805158
2012-04-27,2012-04-27,50.05865156781832,50.20724105834961,0.002968307892392552
2012-05-18,2012-05-18,47.6738474680315,47.05721664428711,-0.012934362475314765
2012-05-21,2012-05-21,47.26524441791159,47.956172943115234,0.01461810964298782
2012-05-25,2012-05-25,46.71547884504725,47.23553085327149,0.011132327465789738
2012-11-16,2012-11-16,46.91032518803537,46.87260437011719,-0.0008041048056475208
2013-02-05,2013-02-05,49.42359107586694,49.51480865478516,0.0018456283109458127
2013-02-06,2013-02-06,49.40837622829287,50.37373733520508,0.01953840989332911
2013-02-07,2013-02-07,50.38895220944024,50.75381088256836,0.0072408465969204805
2013-08-29,2013-08-29,63.8192422090778,64.50613403320312,0.01076308336402687
2014-10-03,2014-10-03,96.90101898956524,97.6280517578125,0.007502839245947968
2014-10-16,2014-10-16,92.13493988500085,93.6124038696289,0.016035870718233092
2014-12-16,2014-12-16,107.57679926338233,108.34730529785156,0.007162381105825455
2014-12-17,2014-12-17,108.50619175756792,109.0066146850586,0.004611929691613836
2014-12-18,2014-12-18,110.19019118612547,111.06396484375,0.007929686374249068
2015-03-12,2015-03-12,105.75706959331612,106.65872955322266,0.008525765354257864
2015-03-16,2015-03-16,106.07626405577508,107.69605255126952,0.015270037174789142
2015-08-25,2015-08-25,116.1286507060009,111.8974380493164,-0.0364355620336666
2015-08-26,2015-08-26,114.323358153651,116.096435546875,0.015509318671701244
2015-08-27,2015-08-27,116.71707186804494,116.9991455078125,0.0024167299200794634
2016-01-08,2016-01-08,106.0507295809449,105.44329071044922,-0.005727814159279809
2016-01-11,2016-01-11,106.42331243773395,106.33422088623048,-0.000837143192245593
2016-01-12,2016-01-12,107.26563867674804,107.30613708496094,0.0003775524829059407
2016-01-19,2016-01-19,103.31674208564142,103.70753479003906,0.003782472196749209
2016-01-21,2016-01-21,101.2650645790422,101.21621704101562,-0.00048237304967546635
2016-01-22,2016-01-22,102.17689560142504,102.88521575927734,0.006932292801450357
2016-06-28,2016-06-28,110.19327816408668,109.68555450439452,-0.00460757378445642
2016-06-29,2016-06-29,110.97035276717052,111.7033462524414,0.006605309138818294
2017-10-27,2017-10-27,172.16580956474974,172.57833862304688,0.0023961148809978905
2017-11-01,2017-11-01,171.38283883380467,169.74114990234375,-0.009579074209716598
2017-11-02,2017-11-02,169.83375499933624,171.5933074951172,0.010360440395301929
2017-11-03,2017-11-03,172.01426310066245,171.7953643798828,-0.0012725614541134744
2017-11-10,2017-11-10,167.40913600391045,168.1836700439453,0.004626593616830821
2018-05-04,2018-05-04,164.66067140118955,165.60299682617188,0.005722832398067812
2018-05-07,2018-05-07,166.36706310769335,166.77455139160156,0.0024493326761705347
2018-05-08,2018-05-08,167.21594822172278,169.46563720703125,0.013453794385242857
2018-06-20,2018-06-20,162.21571123246883,162.48736572265625,0.0016746496878967676
2018-06-22,2018-06-22,161.38374548303457,160.7725067138672,-0.0037874865733095175
2018-06-28,2018-06-28,158.00500125852483,159.1256103515625,0.007092238119755123
2018-10-15,2018-10-15,164.59510754951788,165.08360290527344,0.002967860728233296
2018-10-16,2018-10-16,165.64918562369158,166.8661346435547,0.0073465439342856875
2018-10-29,2018-10-29,146.30676063333112,143.1529998779297,-0.02155581014677288
2018-10-30,2018-10-30,143.4443754703419,147.30943298339844,0.026944643178816508
2018-10-31,2018-10-31,148.69778959897684,147.90078735351562,-0.005359879575955073
2018-11-01,2018-11-01,148.4920964609339,152.88848876953125,0.029606911164824057
2018-12-07,2018-12-07,146.15245534898898,143.44435119628906,-0.018529310001897614
2018-12-24,2018-12-24,127.48706278715387,127.0157241821289,-0.0036971485162529127
2018-12-26,2018-12-26,126.79289011998311,130.409423828125,0.028523158551868155
2018-12-27,2018-12-27,128.8496741104435,132.9375457763672,0.03172589837068407
2018-12-28,2018-12-28,133.68319619540634,133.1090087890625,-0.0042951352352808
2019-03-08,2019-03-08,142.36831184156475,143.19573974609375,0.005811882530782686
2019-08-06,2019-08-06,155.51496616919994,157.5379180908203,0.013008085147376836
2019-10-03,2019-10-03,151.99224653830336,152.48927307128906,0.0032700782066568124
2019-10-04,2019-10-04,152.59385809550722,154.0238800048828,0.009371425083705365
2019-10-07,2019-10-07,153.6663778059539,154.07620239257812,0.00266697629289947
