Config_ID,Trades,WinRate,AvgReturn,MaxDrawdown
CFG_097,186,0.7311827956989247,3.4004323023790923,-0.24397496197960344
CFG_101,159,0.7295597484276729,3.1916284419390797,-0.2739439226089569
CFG_079,8,0.875,2.9596603547839324,-0.03733394411360503
CFG_113,228,0.7105263157894737,2.957218086946369,-0.2778959713405701
CFG_121,271,0.6974169741697417,2.764896026773904,-0.2709095931632352
CFG_105,267,0.6966292134831461,2.755096945352065,-0.2709095931632354
CFG_117,196,0.7040816326530612,2.7326147062354154,-0.2778959713405705
CFG_075,9,0.8888888888888888,2.72568586459394,-0.037333944113605064
CFG_111,9,0.8888888888888888,2.6986590374315136,-0.03733394411360498
CFG_127,9,0.8888888888888888,2.6986590374315136,-0.03733394411360498
