entry_date,exit_date,entry_price,exit_price,return_pct
2007-06-21,2007-06-21,40.974669272391566,41.10966491699219,0.0032946121835224496
2007-06-25,2007-06-25,40.934978660727566,40.8952751159668,-0.0009699173191181076
2007-06-26,2007-06-26,41.12554931640625,41.12554931640625,0.0
2007-08-02,2007-08-02,37.718943584446,38.40185546875,0.018105276007401416
2007-08-03,2007-08-03,39.1085740541157,37.71892929077149,-0.03553299492385775
2007-10-04,2007-10-04,37.65542206553878,37.623661041259766,-0.0008434648328661254
2008-01-25,2008-01-25,39.60886203896808,39.70415115356445,0.0024057523920437696
2008-01-28,2008-01-28,39.62473967016111,41.29231262207031,0.0420841364710578
2008-02-14,2008-02-14,37.23455696462109,37.01221466064453,-0.005971396522532091
2008-03-12,2008-03-12,28.388474575583736,29.126972198486328,0.026013994550371455
2008-03-13,2008-03-13,29.936926841667606,30.39749336242676,0.015384562456762119
2008-03-18,2008-03-18,27.23704286136345,27.840547561645508,0.022157497175956165
2008-03-19,2008-03-19,27.41175151990298,28.229656219482425,0.02983773944490875
2008-03-20,2008-03-20,28.372584320185595,28.04701042175293,-0.011474946897982674
2008-03-24,2008-03-24,28.05496099802792,28.35671043395996,0.010755653374576069
2008-03-27,2008-03-27,27.197349688586065,26.998828887939453,-0.007299270072992692
2008-03-28,2008-03-28,27.189406481840404,27.31645965576172,0.00467289251077152
2008-06-17,2008-06-17,24.065822475661115,23.843284606933597,-0.00924705020792782
2008-06-18,2008-06-18,23.81943724715387,24.01813125610352,0.00834167519945872
2008-06-24,2008-06-24,20.78339023376996,21.00592803955078,0.010707483393119777
2008-06-25,2008-06-25,21.045671531217668,21.29205322265625,0.011707000704307191
2008-06-27,2008-06-27,20.902609124661183,20.6721248626709,-0.011026578577616686
2008-06-30,2008-06-30,20.703922926028916,20.86287879943848,0.0076775726985403026
2008-07-07,2008-07-07,18.049367627375897,18.526233673095703,0.026420097122767494
2008-07-14,2008-07-14,17.636075991922393,17.628128051757812,-0.00045066375129143577
2008-07-15,2008-07-15,17.41354279035557,17.74734878540039,0.019169332689135343
2008-07-16,2008-07-16,17.802983575615613,17.90630531311035,0.0058036192111223794
2008-09-30,2008-09-30,18.82030050234852,20.179367065429688,0.07221279824472382
2008-10-10,2008-10-10,13.217126914939907,13.789366722106934,0.043295325137583385
2008-10-13,2008-10-13,14.353653581673624,18.58186149597168,0.29457363522389324
2008-11-24,2008-11-24,13.964210300140882,15.156373977661133,0.08537279601899317
2009-02-24,2009-02-24,18.89182905743468,19.24152946472168,0.018510669677554548
2009-03-03,2009-03-03,14.099324672365572,14.147010803222656,0.0033821570866119366
2009-03-04,2009-03-04,14.393401906492649,14.274184226989746,-0.008282800708088733
2009-03-06,2009-03-06,13.169440655484468,14.226492881774902,0.08026553700670802
2009-03-09,2009-03-09,14.043691955659735,14.139065742492676,0.006791218942573396
2009-03-10,2009-03-10,14.01985334937427,15.347129821777344,0.09467120941477702
2009-03-11,2009-03-11,15.434554431891437,15.196122169494627,-0.015447952414107458
2009-10-05,2009-10-05,19.404977011918064,19.13435935974121,-0.013945785764685303
2009-10-06,2009-10-06,19.46865089702981,19.40497589111328,-0.003270642955863101
2009-10-07,2009-10-07,19.43682410815121,19.93826484680176,0.025798491351283204
2010-04-16,2010-04-16,24.330306059087636,24.481672286987305,0.0062213038969616274
2010-07-02,2010-07-02,22.31238109400104,22.6403865814209,0.014700604388119043
2010-07-06,2010-07-06,22.792385409641792,23.11239051818848,0.014040000763207328
2011-08-03,2011-08-03,38.09029857788098,38.24431228637695,0.004043384122628169
2011-08-05,2011-08-05,36.9473495438101,36.93113708496094,-0.00043879896797294204
2011-08-09,2011-08-09,34.312889982782494,36.258338928222656,0.05669732122290916
2011-08-11,2011-08-11,33.680623307290176,35.60986328125,0.05728041183674404
2011-08-12,2011-08-12,35.49636063654471,36.32317733764648,0.023292999233575973
2011-10-05,2011-10-05,35.416050917110866,36.15625762939453,0.02090031759938671
2012-11-15,2012-11-15,42.2936212644441,42.277122497558594,-0.00039010059654964735
2013-02-27,2013-02-27,43.861870811437925,44.61553955078125,0.01718277687204317
2013-10-21,2013-10-21,57.54451631185451,57.16730880737305,-0.006555055610116489
2013-10-22,2013-10-22,57.18407976997115,57.72054672241211,0.009381403960664558
2013-10-25,2013-10-25,56.58893885424377,56.68114471435547,0.0016293972281260505
2013-10-29,2013-10-29,56.06085387087269,57.06673431396485,0.017942652914439083
2014-04-22,2014-04-22,63.49538510189095,63.97673034667969,0.007580791013651167
2014-04-23,2014-04-23,64.01896464000461,63.61362457275391,-0.006331562366402421
2014-04-24,2014-04-24,64.30608219221419,64.67764282226562,0.005778001355156714
2014-10-16,2014-10-16,72.21909802236577,72.7558822631836,0.00743271870622908
2015-08-25,2015-08-25,97.37786826343316,94.77538299560548,-0.02672563400943684
2015-08-26,2015-08-26,96.99867673995811,97.77425384521484,0.007995749337240454
2016-01-11,2016-01-11,96.05716658088966,95.24879455566406,-0.00841553060535949
2016-01-12,2016-01-12,95.92676437943156,97.57827758789062,0.01721639647853257
2016-01-15,2016-01-15,94.81419287748426,94.97933959960938,0.0017417932601979658
