exit_date,entry_price,exit_price,return_pct,ticker
2024-10-30,65.51,65.92,0.006258586475347272,KO
2024-11-01,65.47,65.01,-0.007026118833053263,KO
2024-11-04,65.08,65.11,0.0004609711124770044,KO
2024-11-05,64.64,65.37,0.011293316831683331,KO
2024-11-07,64.29,63.66,-0.009799346710219425,KO
2024-11-08,63.91,63.92,0.00015647003598817655,KO
2024-11-15,62.49,61.74,-0.012001920307249114,KO
2024-11-18,61.85,61.86,0.00016168148746964484,KO
2024-11-19,61.9,62.59,0.011147011308562327,KO
2024-11-20,62.7,62.99,0.004625199362041421,KO
