exit_date,entry_price,exit_price,return_pct,ticker
2024-01-18,61.21,61.35,0.002287207972553551,SHEL
2024-01-19,61.28,61.11,-0.0027741514360313246,SHEL
2024-01-22,60.69,61.18,0.008073817762399127,SHEL
2024-01-23,60.77,61.15,0.006253085403982173,SHEL
2024-01-24,61.43,61.46,0.0004883607357968334,SHEL
2024-06-05,70.31,69.81,-0.007111363959607431,SHEL
2024-08-06,68.64,69.72,0.015734265734265618,SHEL
2024-08-07,70.56,70.66,0.0014172335600906028,SHEL
2024-09-09,67.02,67.43,0.00611757684273373,SHEL
2024-09-10,67.31,65.9,-0.020947853216461088,SHEL
2024-09-11,66.81,66.21,-0.008980691513246652,SHEL
2024-09-12,66.39,66.98,0.008886880554300314,SHEL
2024-09-13,67.44,67.45,0.00014827995255051185,SHEL
2024-09-27,65.64,66.11,0.007160268129189573,SHEL
2024-11-14,65.88,65.79,-0.00136612021857907,SHEL
2024-12-19,61.42,60.78,-0.010420058612829686,SHEL
2024-12-20,60.23,60.64,0.006807238917483138,SHEL
2024-12-23,60.63,61.16,0.008741547088899848,SHEL
2024-12-24,61.37,61.44,0.0011406224539678433,SHEL
