entry_date,exit_date,entry_price,exit_price,return_pct
2007-08-02,2007-08-02,51.67915944886016,51.98695755004883,0.005955942481867371
2007-08-06,2007-08-06,50.47875605801551,50.8788948059082,0.00792687417718474
2007-08-07,2007-08-07,50.355634957281424,50.66343307495117,0.0061124860788839275
2007-08-08,2007-08-08,50.78655213872317,52.63333511352539,0.036363621805980184
2007-11-12,2007-11-12,50.16194908772236,50.59411239624024,0.008615361172711111
2007-11-13,2007-11-13,50.90280850142585,52.1375617980957,0.024257076043952663
2007-11-23,2007-11-23,47.53809843199762,48.49503326416016,0.020129850871747124
2007-11-27,2007-11-27,47.19852124831149,47.32199478149414,0.002616046645466996
2007-11-28,2007-11-28,47.56896214975158,48.0319938659668,0.009733904110784453
2008-01-09,2008-01-09,46.16817888398879,45.79660415649414,-0.008048286427505325
2008-01-10,2008-01-10,45.36310897925552,46.23011779785156,0.019112641044786383
2008-01-24,2008-01-24,31.39808583770728,31.36711883544922,-0.0009862703866129197
2008-01-25,2008-01-25,31.98641470880717,33.224998474121094,0.038722181794663246
2008-01-28,2008-01-28,33.3488452935515,34.80418014526367,0.04363973741524374
2008-01-29,2008-01-29,34.95901541159194,35.02094650268555,0.0017715341912367677
2008-01-30,2008-01-30,34.804176358880895,34.95899963378906,0.0044484108260951505
2008-01-31,2008-01-31,34.525518935394686,35.60927963256836,0.03139013490866405
2008-03-04,2008-03-04,30.035638290626142,30.74782371520996,0.023711346424293733
2008-03-05,2008-03-05,31.212295718852523,31.026508331298828,-0.0059523781661942055
2008-03-10,2008-03-10,30.500122681983903,29.540218353271484,-0.03147214648023122
2008-03-11,2008-03-11,29.91178407741285,30.99554443359375,0.036231886181582684
2008-03-12,2008-03-12,31.05777975579048,31.151138305664062,0.0030059634206844876
2008-03-18,2008-03-18,29.28394727550045,30.310909271240234,0.03506911093911724
2008-06-24,2008-06-24,23.221517462682005,23.0024471282959,-0.00943393706884843
2008-06-25,2008-06-25,23.15892909140529,23.53447914123535,0.0162162096678915
2008-06-27,2008-06-27,22.78337531729659,23.0024471282959,0.009615423875890539
2008-06-30,2008-06-30,22.877265750119065,22.971153259277344,0.004103965490622086
2008-07-01,2008-07-01,22.68948492579921,23.065034866333008,0.016551717315838044
2008-07-07,2008-07-07,22.220046997070312,22.220046997070312,0.0
2008-07-08,2008-07-08,22.251338860468174,22.939847946166992,0.030942366660103637
2008-09-12,2008-09-12,25.030804931190108,25.5975399017334,0.02264150002771581
2008-09-18,2008-09-18,21.945245169130036,22.35455322265625,0.018651332002523224
2008-09-19,2008-09-19,24.558520153182645,23.70841789245605,-0.034615369958129416
2008-09-22,2008-09-22,23.645454412774715,23.86585235595703,0.009320943439481644
2008-10-10,2008-10-10,13.412730860294156,14.735112190246582,0.09859150561703167
2008-10-13,2008-10-13,16.655718966382235,17.537307739257812,0.052930094140935635
2008-11-21,2008-11-21,10.704999437584735,10.327176094055176,-0.035294102137272465
2008-11-24,2008-11-24,10.516085878796524,11.177276611328123,0.06287422337095516
2010-02-01,2010-02-01,19.85053184977269,20.169160842895508,0.016051408372036446
2010-02-02,2010-02-02,20.29661345269581,20.87014389038086,0.02825744496843008
2010-02-03,2010-02-03,20.838281123806,21.31622314453125,0.022935769888392743
2010-05-07,2010-05-07,21.156902034875944,21.029451370239254,-0.006024070273927373
2011-07-13,2011-07-13,34.4047407937552,34.86189270019531,0.013287468409675984
2011-08-09,2011-08-09,31.66969604695404,31.898273468017575,0.00721754388563256
2011-08-11,2011-08-11,31.04702138883201,31.393829345703125,0.011170409957454552
2012-01-27,2012-01-27,35.861709828304505,36.466835021972656,0.016873852266534817
2012-05-21,2012-05-21,37.58708118914134,38.33082580566406,0.019787240535654727
2012-05-22,2012-05-22,38.36282317652187,38.29084777832031,-0.0018761757410390434
2013-04-25,2013-04-25,45.68544816324764,45.954376220703125,0.005886514596388004
2013-04-26,2013-04-26,45.889202562634914,46.28852081298828,0.008701791010822912
2013-04-29,2013-04-29,46.45964620631663,46.8100700378418,0.007542541972209937
2013-05-02,2013-05-02,45.97883243214947,46.361854553222656,0.008330401204476257
2013-05-03,2013-05-03,46.63893444483539,46.68783187866211,0.001048425192572866
2013-07-26,2013-07-26,44.14505327863681,44.42341613769531,0.006305641026221442
2013-07-29,2013-07-29,44.22693507508297,44.218746185302734,-0.00018515616708081328
2013-07-30,2013-07-30,44.39886364554428,44.497108459472656,0.0022127776673004362
2013-07-31,2013-07-31,44.66904917128866,44.89010238647461,0.004948688617442798
2013-08-01,2013-08-01,45.08658505614397,45.291263580322266,0.0045396768001706445
2014-01-23,2014-01-23,53.49566358941447,54.041534423828125,0.010204020247384538
2014-05-02,2014-05-02,51.96950302404009,54.43751525878906,0.047489625475297004
2014-08-01,2014-08-01,53.26042224338966,53.27711868286133,0.00031348680255227634
2014-08-07,2014-08-07,51.13167190551758,51.13167190551758,0.0
2014-08-08,2014-08-08,51.2402087071029,51.91639709472656,0.01319644093350325
2014-08-13,2014-08-13,51.61586742919756,51.7828254699707,0.0032346262707327877
2014-08-18,2014-08-18,51.18176375922068,50.76436233520508,-0.00815527628120094
2014-09-08,2014-09-08,49.153192963672026,50.93967056274414,0.03634509767030725
2014-10-14,2014-10-14,49.42769408690069,49.30177307128906,-0.002547580216674561
2014-10-15,2014-10-15,48.9072353894129,49.79706954956055,0.018194325503426034
2014-10-16,2014-10-16,48.98278500411334,49.67954254150391,0.014224539036154615
2014-12-16,2014-12-16,52.1749995412894,52.09904098510742,-0.0014558420095791558
2014-12-17,2014-12-17,52.6982638160672,54.006439208984375,0.02482388029865845
2015-03-11,2015-03-11,55.42583846571574,55.40886688232422,-0.0003062034578334982
2015-03-13,2015-03-13,55.15434379478657,54.97618103027344,-0.0032302580767894495
