exit_date,entry_price,exit_price,return_pct,ticker
2024-04-19,887.44,859.54,-0.0314387451546021,ASML
2024-04-22,870.0,872.05,0.0023563218390803,ASML
2024-04-23,879.3,901.57,0.025326964630956628,ASML
2024-07-18,953.5,924.15,-0.030781331934976452,ASML
2024-07-19,915.23,895.37,-0.021699463522830365,ASML
2024-07-22,928.19,941.26,0.014081168726230553,ASML
2024-07-25,873.0,862.63,-0.011878579610538398,ASML
2024-07-26,893.92,888.39,-0.006186235904778958,ASML
2024-07-29,886.99,870.55,-0.018534594527559567,ASML
2024-07-30,892.5,860.24,-0.03614565826330529,ASML
2024-07-31,925.52,936.7,0.012079695738611784,ASML
2024-08-05,775.0,820.35,0.058516129032258,ASML
2024-08-06,840.36,843.01,0.003153410443143434,ASML
2024-09-06,792.8,752.79,-0.05046670030272449,ASML
2024-09-09,764.08,749.82,-0.01866296722856242,ASML
2024-09-10,749.91,751.38,0.001960235228227525,ASML
2024-09-11,770.03,800.14,0.039102372634832516,ASML
2024-09-12,801.39,800.17,-0.0015223549083467347,ASML
2024-10-17,692.64,700.6,0.011492261492261457,ASML
2024-10-18,717.67,723.26,0.007789095266626855,ASML
2024-11-01,678.55,674.73,-0.005629651462677687,ASML
2024-11-14,705.675,692.96,-0.01801820951571176,ASML
2024-11-19,662.82,662.16,-0.0009957454512538044,ASML
