Date,Close,High,Low,Open,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLs_20_3.0,KCBs_20_3.0,KCUs_20_3.0,Adj Close
2007-01-03,14.091180801391602,14.308463794942387,13.761233234121011,13.857802430183789,52241700.0,,,,,,,,,,,
2007-01-04,14.227982521057127,14.380885475293612,13.922176612584162,14.12336414475988,33559800.0,,,,,4591038.351631165,,,,,,
2007-01-05,14.195796966552734,14.292367692659049,14.034847802961703,14.179703124651365,36154800.0,,,,,754571.2598800662,,,,,,
2007-01-08,14.372841835021973,14.429174114295536,14.042894312185837,14.187748086772356,31018100.0,,,,,3912587.3764038086,,,,,,
2007-01-09,14.340657234191896,14.4694172234486,14.203849553739126,14.429180302408437,31417000.0,,,,,630100.0559488934,,,,,,
2007-01-10,14.300419807434082,14.324561345228384,14.12337367726203,14.211896742348056,27822400.0,,,,,-536301.1695014106,,,,,,
2007-01-11,13.994606971740724,14.332602153001837,13.962417758493611,14.31650831384796,65380200.0,,,,,-13508169.963299789,,,,,,
2007-01-12,14.083137512207031,14.123374433980125,13.906092907489176,13.962425211947576,42526400.0,,,,,-1992799.8703756456,,,,,,
2007-01-16,13.92218017578125,14.067035481611809,13.889990960563043,13.99460782869653,35736000.0,,,,,-4498914.206466361,,,,,,
2007-01-17,14.099228858947754,14.252130345869158,13.90608892683145,13.91413661587043,31417600.0,,,,,2208658.4033458484,,,,,,
2007-01-18,13.777328491210938,14.099228366836028,13.761233113694765,14.067037611803675,61438500.0,,,,,-12448497.694350312,14.12776010686701,,,,,
2007-01-19,13.898040771484377,14.04289609944634,13.688805468310392,13.72904237721552,28871700.0,,,,,-1826053.4032030348,14.089473550969904,,,,,
2007-01-22,13.680757522583008,14.33260495122886,13.495665289192402,13.881945133209229,52768300.0,,,,,-8252462.909735688,14.021354212905422,,,,,
2007-01-23,13.777328491210938,13.930229972795551,13.688805449811658,13.688805449811658,33062000.0,,,,,-622268.0600608219,13.980683259289677,,,,,
2007-01-24,13.793423652648926,13.914137460622635,13.753186739950907,13.769282119006046,31268600.0,,,,40.43753787549657,128092.75660631288,13.949473324849553,,,,,
2007-01-25,13.66466236114502,13.857802286203574,13.6244254523602,13.785374622439155,35851900.0,,,,36.41701701538153,-3034860.3790438264,13.902004830898797,,,,,
2007-01-26,13.801472663879396,13.92218494847333,13.704903450180236,13.712951140478497,36013400.0,,,,42.911766214055824,2273049.311314818,13.885249469728896,,,,,
2007-01-29,13.898040771484377,13.92218230285158,13.704900845848318,13.75318544352241,33492500.0,,,,47.025076087487285,2913887.999744812,13.887381353354808,,,,,
2007-01-30,13.8095121383667,14.083127305963398,13.753179874733096,13.938272036654668,42647400.0,,,,43.90212565685279,-1545714.6854335736,13.87440315085679,,,,,
2007-01-31,13.8095121383667,13.841702880408222,13.519801599749238,13.76927524575386,39756700.0,,,,43.90212565685278,-515238.2284778579,13.863587982108442,,,13.976905584335327,,
2007-02-01,13.720993041992188,13.95437138346876,13.70489920132513,13.85780066476892,29262300.0,,,,40.76289528754327,-1898594.312052536,13.839822158755734,,13.019251498212222,13.958396196365356,14.89754089451849,
2007-02-02,14.018752098083496,14.034847474547854,13.76927990264427,13.793421432401225,41177800.0,,,,52.950209833605726,7541177.135926945,13.86964381531036,13.967175310308283,13.030518141586608,13.947934675216676,14.865351208846745,
2007-02-05,13.8095121383667,14.026795042329796,13.745132189222714,13.962415093185813,28521100.0,,,,45.81671322262865,-1464776.8314101747,13.859621869153084,13.953465469269888,13.007582455665846,13.928620433807373,14.8496584119489,
2007-02-06,13.696853637695312,13.833661281688828,13.56809368275315,13.785375147380714,31442200.0,,,,42.497024807535325,-2849746.3503433084,13.832493830576787,13.931151396959054,12.991889876275616,13.89482102394104,14.797752171606463,
2007-02-07,13.608328819274902,13.777327197445516,13.560044226200244,13.777327197445516,45225900.0,,,,40.04189864111269,-3618991.840380855,13.795132995359808,13.90307986846478,12.962516160299396,13.85820460319519,14.753893046090983,
2007-02-08,13.447380065917969,13.616378468429234,13.4071431550504,13.576141557561664,45789500.0,-0.1664848812135364,,,35.97281203931413,-6119505.908018492,13.737174173786167,13.863453798678105,12.921071409756246,13.815552616119383,14.710033822482524,
2007-02-09,13.43933391571045,13.632473850824043,13.310573958968051,13.511761583245518,41419200.0,-0.1789698930263803,,,35.77707531849224,-2262012.039123026,13.68753413077355,13.82657380885483,12.900550432352569,13.78778896331787,14.675027494283174,
2007-02-12,13.399094581604004,13.447379178446456,13.286430010658396,13.399094581604004,31935900.0,-0.1899220298679971,,,34.75847008070593,-1610723.5797676933,13.639460872578626,13.789401702137368,12.874798139627847,13.75358681678772,14.632375493947592,
2007-02-13,13.37495231628418,13.447378440101383,13.302524657527403,13.447378440101383,28212500.0,-0.1982642889589581,,,34.13061828310111,-990983.6334795916,13.595376113196217,13.753362625106655,12.854680662013497,13.726225423812869,14.597770185612235,
2007-02-14,13.49566650390625,13.632474152843407,13.42323883476659,13.471523435879766,42296700.0,-0.1929112030351998,,,39.96954599387647,3073546.641903084,13.578757844981222,13.730954266741405,12.837780481633192,13.696047306060793,14.55431413048839,
2007-02-15,13.608328819274902,13.616376507277268,13.423236600039097,13.551996538197878,33887400.0,-0.1775314643699648,,,44.88043722402157,3569737.511183474,13.583686340696836,13.720291184353014,12.851058873738614,13.68759732246399,14.524135771189366,
2007-02-16,13.43933391571045,13.664663072539762,13.43933391571045,13.592235405004692,34121000.0,-0.1769397359066769,,,39.64176433442984,-2654270.899287312,13.559627603199104,13.695860117514531,12.847437752095912,13.664661979675293,14.481886207254671,
2007-02-20,13.66466236114502,13.66466236114502,13.334714797302532,13.431285527301648,31925200.0,-0.1564848050143723,,,48.306020167539074,3911013.491029392,13.577133396190089,13.693147269134574,12.922681808753108,13.663857221603394,14.40503263445368,
2007-02-21,13.841710090637209,13.906090073317106,13.640522452895038,13.656616297360117,50679300.0,-0.1245520937858177,0.0490101723451715,-0.1735622661309893,53.90498472977524,7285441.161845409,13.621229511931276,13.706065775352194,12.923486613192992,13.667076301574706,14.41066598995642,
2007-02-22,13.898040771484377,13.92218230285158,13.688805468310392,13.889993082715412,32971700.0,-0.0936205751911849,0.0639533527518435,-0.1575739279430284,55.55442136540198,3666692.593740849,13.667364721856792,13.722759253276733,12.917853552054346,13.67230715751648,14.426760762978612,
2007-02-23,13.535906791687012,13.889997536357424,13.447383721784364,13.87390215365873,54223900.0,-0.0972077590089544,0.0482929351472592,-0.1455006941562136,44.52414849603486,-11868646.940175882,13.645455066828497,13.706511213138498,12.87882374120295,13.66586937904358,14.452915016884209,
2007-02-26,13.535906791687012,13.696857548793613,12.876011450442274,13.608334478890963,32784400.0,-0.0989104499316049,0.0372721953796869,-0.1361826453112919,44.52414849603486,-3956215.646725294,13.62719702097158,13.69167604605576,12.781046920939875,13.65259108543396,14.524135249928042,
2007-02-27,13.109381675720217,13.519802932638788,13.109381675720217,13.39909070796043,39847100.0,-0.1331420779973431,0.002432453851159,-0.1355745318485021,35.024900310664286,-12649264.514535464,13.540894463429687,13.641041752983105,12.71022741730714,13.613158130645752,14.516088843984363,
2007-02-28,13.222050666809082,13.551998241682783,13.125479933581294,13.173766067665056,47578000.0,-0.1494566012326714,-0.0111056555073354,-0.138350945725336,38.74278034517664,-642711.3328277403,13.487753830659583,13.604607745489712,12.66395397351942,13.583785057067873,14.503616140616325,
2007-03-01,13.49566650390625,13.71294951132523,12.851865938461373,12.964531286841943,81590400.0,-0.1387085215918251,-0.0002860606931912,-0.1384224608986338,46.71652728868765,14668713.285785936,13.489072609534029,13.595134594047671,12.567384347965664,13.568092775344848,14.568801202724032,
2007-03-02,13.447380065917969,13.592235400944835,13.30252626583086,13.383000087566,37306400.0,-0.132558847164681,0.0046908909871622,-0.1372497381518433,45.58872939954162,3688642.315151302,13.482123852264683,13.582286374210309,12.547668156216403,13.554412126541138,14.561156096865872,
2007-03-05,13.173763275146484,13.680755296038086,13.149620213222349,13.29447551488835,34056700.0,-0.1480570645022254,-0.0086458610803057,-0.1394112034219197,39.73495818362203,-4982775.867127707,13.430730422744986,13.546762626465627,12.47282661753054,13.512162685394289,14.551498753258034,
2007-03-06,13.584185600280762,13.61637635192295,13.27033344646703,13.29447651019867,38263800.0,-0.1257720400180542,0.0109113307230924,-0.1366833707411466,50.087766557700085,8808619.887272738,13.456306285667615,13.550016798101728,12.437417757075837,13.50089635848999,14.564374959904145,
2007-03-07,13.270334243774414,13.560044886202403,13.24619117859221,13.495664913989474,30652900.0,-0.1319155388469965,0.00381426551532,-0.1357298043623166,43.87997906009517,-3477429.5348113696,13.425310945352082,13.525696575986313,12.40522776396686,13.479570388793944,14.55391301362103,
2007-03-08,13.431283950805664,13.616376165394133,13.382997824003846,13.439331638605967,30462200.0,-0.1223862175526822,0.0106748694477075,-0.1330610870003897,47.47516019012943,2109444.932081106,13.426306446261012,13.517486782492345,12.377061677987232,13.470718145370483,14.564374612753737,
2007-03-09,13.382993698120115,13.64051502351928,13.334709121143597,13.5278489639887,24208200.0,-0.1173777242451272,0.01254669020421,-0.1299244144493372,46.512383608049646,-76198.41934780183,13.419087654904196,13.505791731677366,12.359356771247812,13.467498826980592,14.57564088271337,
2007-03-12,13.737091064453123,13.75318644316093,13.358858874458493,13.366906563812394,30612500.0,-0.0838689697896217,0.0368443557277724,-0.1207133255173942,53.89565508167134,7201137.611463534,13.47208822316235,13.525904717136129,12.363380477157978,13.482386684417724,14.60139289167747,
2007-03-13,13.399094581604004,13.849754400326091,13.399094581604004,13.624425258434878,31390600.0,-0.083622582796325,0.0296725941768553,-0.1132951769731803,47.198397345380144,-4672895.725861235,13.45992261623596,13.514877748828988,12.319923879517871,13.482386684417724,14.644849489317576,
