Date,Close,High,Low,Open,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLs_20_3.0,KCBs_20_3.0,KCUs_20_3.0,Adj Close
2007-01-03,47.7164421081543,48.469860875677625,47.3327551462676,47.73736952019672,12908400.0,,,,,,,,,,,
2007-01-04,49.76045989990234,50.13716946408618,48.11410194784048,48.46988408995886,16000900.0,,,,,32706124.283981323,,,,,,
2007-01-05,49.87902069091797,50.28363500325289,49.53719392748488,49.76740074723998,10462000.0,,,,,11728963.425064089,,,,,,
2007-01-08,49.48140335083008,50.15110730840574,49.38373852299617,49.96972748999964,6747100.0,,,,,2121145.171483359,,,,,,
2007-01-09,49.71857070922852,50.00459283671252,49.30000654525895,49.648810902288936,7165200.0,,,,,1839949.4280921093,,,,,,
2007-01-10,49.55812072753906,49.697640333090746,49.32093101130305,49.46045593918653,5780600.0,,,,,-5014.966738665244,,,,,,
2007-01-11,50.1650390625,50.37431845778607,49.348832921656815,49.64183259078765,6872600.0,,,,,2779066.310322137,,,,,,
2007-01-12,51.11379623413086,51.32308101043387,50.22783536875842,50.24178520342325,10115000.0,,,,,7324141.297471474,,,,,,
2007-01-16,51.27425003051758,51.33006001539373,50.764993232605605,51.204490210588936,5465400.0,,,,,3026009.88500514,,,,,,
2007-01-17,51.57421112060547,51.67885348949709,51.06495443057665,51.27423916835989,6535100.0,,,,,2315520.441557296,,,,,,
2007-01-18,51.40678405761719,51.86720300738767,51.176571921566094,51.6928008417123,7544100.0,,,,,-70217.52340749628,50.14982709017667,,,,,
2007-01-19,51.79745864868164,52.01371569544867,51.44865421333698,51.58120160191461,6791700.0,,,,,1745490.5722857988,50.4244323499275,,,,,
2007-01-22,52.91361618041992,53.68098464752081,52.67643178901837,52.84385637838016,16810600.0,,,,,13090682.059454966,50.83929632167624,,,,,
2007-01-23,52.04161071777344,52.91362163905762,51.8672085335166,52.48807988368435,11220700.0,,,,,-2159447.109993282,51.03968205435911,,,,,
2007-01-24,52.41831207275391,52.41831207275391,51.6230386597284,51.9369604145374,7198900.0,,,,76.13209933108617,1088074.552914837,51.269453724091576,,,,,
2007-01-25,52.21603012084961,52.32765011030142,51.84629821987506,52.20208028333515,10974200.0,,,,72.95138112432556,-1117230.2134204772,51.42721645688458,,,,,
2007-01-26,49.87902069091797,50.151087650718246,49.47440637858304,50.01156804345261,30276300.0,,,,48.00030055848816,-47543075.80676638,51.16918382922348,,,,,
2007-01-29,48.81167221069336,49.73949288075867,48.73493484265301,49.66972776629946,13797900.0,,,,41.0882904204308,-25665803.665782887,50.77626522613512,,,,,
2007-01-30,49.06284713745117,49.6209311996748,48.99308729496507,49.30700924731993,11686000.0,,,,43.16248835523561,-6598447.759199766,50.4906955446878,,,,,
2007-01-31,49.090728759765625,49.2302483782925,48.76285180166196,49.11165617031143,8537800.0,,,,43.40071260831108,-2040784.1097356973,50.25736774720077,,,50.4939697265625,,
2007-02-01,48.47684097290039,49.00702522717734,48.14896393831246,48.9651703963222,13779600.0,,,,39.47738206500525,-6319680.135170688,49.96061328481738,,47.51726332923064,50.531989669799806,53.546716010368975,
2007-02-02,48.44894027709961,48.83960491496749,48.41406302240351,48.60939268017045,10115500.0,,,,39.303481981631904,-2294713.0373054314,49.70866778353109,50.309326171875,47.75096516759569,50.46641368865967,53.18186220972365,
2007-02-05,48.72100830078125,48.9791255377914,48.16990189371581,48.44196896841083,9181200.0,,,,41.98711460793194,900369.6135821088,49.54405786973945,50.17121157438859,47.68364716284271,50.40851306915283,53.13337897546295,
